"name","seed","value"
"ta041",2251813884,3039
"ta042",2465997669,2890
"ta043",1221955185,2871
"ta044",1349880831,3064
"ta045",2471139383,3010
"ta046",3649651586,3006
"ta047",827812151,3118
"ta048",3351802462,3042
"ta049",3215910043,2902
"ta050",3366830968,3099
"ta051",2831747015,3893
"ta052",1219620774,3733
"ta053",3869655686,3658
"ta054",2743882071,3765
"ta055",1905454100,3644
"ta056",2367760418,3746
"ta057",2365986076,3753
"ta058",236410359,3731
"ta059",462264930,3767
"ta060",51102280,3796
"ta061",340410810,5493
"ta062",2391329533,5268
"ta063",3362849321,5175
"ta064",3062765841,5018
"ta065",1625884499,5250
"ta066",638005104,5135
"ta067",165915947,5246
"ta068",1347230211,5094
"ta069",3837835449,5448
"ta070",2676853191,5324
"ta071",1188665010,5771
"ta072",757904318,5349
"ta073",3848568642,5679
"ta074",2381867072,5810
"ta075",2764050862,5502
"ta076",3116402911,5308
"ta077",2243481655,5602
"ta078",3391415837,5640
"ta079",3071335450,5875
"ta080",2537236166,5848
"ta081",190385396,6304
"ta082",3809342660,6246
"ta083",1842871274,6339
"ta084",1313373429,6307
"ta085",681216612,6376
"ta086",2254036118,6487
"ta087",134637078,6386
"ta088",3192810341,6534
"ta089",3587956413,6356
"ta090",1760989524,6505
"ta091",1692814726,10872
"ta092",2497225575,10501
"ta093",498593214,10923
"ta094",2989073741,10889
"ta095",3712263551,10537
"ta096",4017183192,10334
"ta097",3367349363,10857
"ta098",2496892114,10734
"ta099",396948424,10438
"ta100",80350620,10685
"ta101",7242169,11367
"ta102",1093481337,11365
"ta103",2547038827,11468
"ta104",1907262094,11455
"ta105",1843351886,11373
"ta106",2196210786,11359
"ta107",915378747,11460
"ta108",72264478,11502
"ta109",45074023,11350
"ta110",3054860910,11414
"ta111",2039055046,26176
"ta112",1331875765,26717
"ta113",922089793,26522
"ta114",1045220618,26550
"ta115",2657735897,26430
"ta116",1214969072,26569
"ta117",2341091031,26461
"ta118",520169611,26668
"ta119",4060285005,26119
"ta120",2142228562,26577
"ta001",3455684264,1278
"ta002",125198535,1359
"ta003",390723652,1081
"ta004",1342427710,1293
"ta005",3928907880,1235
"ta006",101781226,1195
"ta007",3931712400,1239
"ta008",4227647926,1206
"ta009",2738867070,1230
"ta010",3089683087,1108
"ta011",3974904494,1582
"ta012",3166898662,1660
