"name","solution_value","buffer_size"
"ta120",26566,25
"ta120",26543,14
"ta001",1278,2
"ta001",1278,2
"ta002",1359,3
"ta002",1359,4
"ta003",1081,2
"ta003",1081,2
"ta004",1293,2
"ta004",1293,2
"ta005",1235,1
"ta005",1235,2
"ta006",1195,2
"ta006",1195,3
"ta007",1239,3
"ta007",1239,3
"ta008",1206,2
"ta008",1206,3
"ta009",1230,3
"ta009",1230,3
"ta010",1108,3
"ta010",1108,3
"ta011",1582,2
"ta011",1582,2
"ta012",1659,2
"ta012",1659,2
"ta013",1496,2
"ta013",1496,2
"ta014",1377,3
"ta014",1377,3
"ta015",1419,3
"ta015",1419,3
"ta016",1397,3
"ta016",1397,3
"ta017",1484,2
"ta017",1484,2
"ta018",1538,3
"ta018",1538,3
"ta019",1593,3
"ta019",1593,3
"ta020",1591,2
"ta020",1591,2
"ta021",2297,2
"ta021",2297,2
"ta022",2100,4
"ta022",2101,5
"ta023",2326,3
"ta023",2326,3
"ta024",2223,2
"ta024",2223,2
"ta025",2294,2
"ta025",2291,2
"ta026",2226,2
"ta026",2226,2
"ta027",2273,2
"ta027",2273,2
"ta028",2200,3
"ta028",2200,3
"ta029",2237,2
"ta029",2237,2
"ta030",2178,2
"ta030",2179,2
"ta031",2724,8
"ta031",2724,7
"ta032",2834,7
"ta032",2834,6
"ta033",2621,6
"ta033",2621,8
"ta034",2751,7
"ta034",2751,7
"ta035",2863,5
"ta035",2863,6
"ta036",2829,6
"ta036",2829,5
"ta037",2725,7
"ta037",2725,5
"ta038",2683,6
"ta038",2683,7
"ta039",2552,4
"ta039",2552,4
"ta040",2782,9
"ta040",2782,9
"ta041",3025,3
"ta041",3025,4
"ta042",2878,3
"ta042",2890,3
"ta043",2861,5
"ta043",2865,4
"ta044",3064,3
"ta044",3063,4
"ta045",2984,3
"ta045",2984,3
"ta046",3006,4
"ta046",3006,4
"ta047",3115,3
"ta047",3115,4
"ta048",3042,3
"ta048",3039,4
"ta049",2902,4
"ta049",2902,4
"ta050",3078,3
"ta050",3091,3
"ta051",3893,4
"ta051",3893,4
"ta052",3715,5
"ta052",3717,4
"ta053",3675,4
"ta053",3665,5
"ta054",3747,3
"ta054",3743,4
"ta055",3629,5
"ta055",3626,5
"ta056",3702,4
"ta056",3695,4
"ta057",3725,4
"ta057",3736,4
"ta058",3724,4
"ta058",3719,5
"ta059",3764,5
"ta059",3763,4
"ta060",3775,4
"ta060",3780,3
"ta061",5493,9
"ta061",5493,11
"ta062",5268,11
"ta062",5268,12
"ta063",5175,16
"ta063",5175,12
"ta064",5014,12
"ta064",5014,11
"ta065",5250,11
"ta065",5250,11
"ta066",5135,13
"ta066",5135,14
"ta067",5246,9
"ta067",5246,12
"ta068",5094,11
"ta068",5094,10
"ta069",5448,10
"ta069",5448,10
"ta070",5322,12
"ta070",5322,10
"ta071",5771,6
"ta071",5771,7
"ta072",5349,7
"ta072",5349,8
"ta073",5679,6
"ta073",5679,7
"ta074",5800,8
"ta074",5826,6
"ta075",5467,7
"ta075",5467,6
"ta076",5308,7
"ta076",5303,8
"ta077",5599,9
"ta077",5599,11
"ta078",5636,7
"ta078",5636,8
"ta079",5878,8
"ta079",5875,6
"ta080",5848,6
"ta080",5848,6
"ta081",6255,5
"ta081",6269,6
"ta082",6224,8
"ta082",6238,6
"ta083",6308,5
"ta083",6326,5
"ta084",6366,14
"ta084",6306,14
"ta085",6398,5
"ta085",6357,5
"ta086",6437,5
"ta086",6483,7
"ta087",6306,6
"ta087",6328,5
"ta088",6456,4
"ta088",6460,4
"ta089",6322,6
"ta089",6303,5
"ta090",6496,6
"ta090",6483,7
"ta091",10872,12
"ta091",10872,14
"ta092",10490,10
"ta092",10497,11
"ta093",10923,10
"ta093",10923,10
"ta094",10893,12
"ta094",10889,12
"ta095",10537,12
"ta095",10537,13
"ta096",10331,10
"ta096",10331,14
"ta097",10857,13
"ta097",10857,11
"ta098",10734,12
"ta098",10734,11
"ta099",10438,10
"ta099",10438,11
"ta100",10685,14
"ta100",10685,10
"ta101",11310,8
"ta101",11288,8
"ta102",11348,8
"ta102",11334,9
"ta103",11410,9
"ta103",11445,14
"ta104",11384,12
"ta104",11373,12
"ta105",11334,9
"ta105",11340,10
"ta106",11340,10
"ta106",11335,10
"ta107",11453,7
"ta107",11471,7
"ta108",11428,7
"ta108",11428,7
"ta109",11301,7
"ta109",11310,7
"ta110",11383,8
"ta110",11379,9
"ta111",26171,19
"ta111",26162,16
"ta112",26682,22
"ta112",26691,24
"ta113",26513,18
"ta113",26492,23
"ta114",26549,14
"ta114",26601,13
"ta115",26410,16
"ta115",26417,15
"ta116",26575,15
"ta116",26565,12
"ta117",26499,14
"ta117",26422,15
"ta118",26652,12
"ta118",26647,13
"ta119",26129,15
"ta119",26131,14
"ta120",26533,21
"ta120",26549,14
"ta001",1278,2
"ta001",1278,2
"ta002",1359,3
"ta002",1359,4
"ta003",1081,2
"ta003",1081,2
"ta004",1293,2
"ta004",1293,2
"ta005",1235,1
"ta005",1235,2
"ta006",1195,2
"ta006",1195,3
"ta007",1234,3
"ta007",1234,4
"ta008",1206,3
"ta008",1206,2
"ta009",1230,3
"ta009",1230,3
"ta010",1108,2
"ta010",1108,3
"ta011",1582,2
"ta011",1582,2
"ta012",1659,2
"ta012",1659,2
"ta013",1496,2
"ta013",1496,2
"ta014",1377,2
"ta014",1377,3
"ta015",1419,2
"ta015",1419,3
"ta016",1397,3
"ta016",1397,3
"ta017",1484,2
"ta017",1484,3
"ta018",1538,3
"ta018",1538,3
"ta019",1593,3
"ta019",1593,3
"ta020",1591,2
"ta020",1591,2
"ta021",2297,2
"ta021",2297,2
"ta022",2100,4
"ta022",2101,5
"ta023",2326,3
"ta023",2326,3
"ta024",2223,2
"ta024",2223,2
"ta025",2291,2
"ta025",2291,2
"ta026",2226,2
"ta026",2226,2
"ta027",2273,2
"ta027",2273,2
"ta028",2200,3
"ta028",2200,3
"ta029",2237,2
"ta029",2237,2
"ta030",2178,2
"ta030",2178,2
"ta031",2724,8
"ta031",2724,7
"ta032",2834,7
"ta032",2834,5
"ta033",2621,8
"ta033",2621,7
"ta034",2751,8
"ta034",2751,6
"ta035",2863,5
"ta035",2863,5
"ta036",2829,6
"ta036",2829,7
"ta037",2725,6
"ta037",2725,6
"ta038",2683,5
"ta038",2683,5
"ta039",2552,5
"ta039",2552,6
"ta040",2782,9
"ta040",2782,9
"ta041",3025,5
"ta041",3025,4
"ta042",2890,5
"ta042",2890,4
"ta043",2864,4
"ta043",2860,4
"ta044",3063,5
"ta044",3063,4
"ta045",2984,4
"ta045",2986,4
"ta046",3006,5
"ta046",3006,4
"ta047",3115,3
"ta047",3115,3
"ta048",3039,4
"ta048",3038,4
"ta049",2902,4
"ta049",2902,3
"ta050",3091,3
"ta050",3091,4
"ta051",3893,4
"ta051",3893,4
"ta052",3714,4
"ta052",3717,4
"ta053",3671,6
"ta053",3661,4
"ta054",3740,4
"ta054",3744,4
"ta055",3623,4
"ta055",3626,5
"ta056",3693,4
"ta056",3697,5
"ta057",3720,4
"ta057",3723,3
"ta058",3732,5
"ta058",3723,5
"ta059",3762,4
"ta059",3761,4
"ta060",3770,3
"ta060",3770,3
"ta061",5493,12
"ta061",5493,10
"ta062",5268,13
"ta062",5268,11
"ta063",5175,11
"ta063",5175,15
"ta064",5017,12
"ta064",5014,10
"ta065",5250,12
"ta065",5250,8
"ta066",5135,16
"ta066",5135,12
"ta067",5246,11
"ta067",5246,9
"ta068",5094,13
"ta068",5094,12
"ta069",5448,10
"ta069",5448,9
"ta070",5322,11
"ta070",5322,10
"ta071",5781,7
"ta071",5771,7
"ta072",5349,7
"ta072",5349,9
"ta073",5679,8
"ta073",5679,8
"ta074",5805,6
"ta074",5794,7
"ta075",5468,7
"ta075",5468,8
"ta076",5308,7
"ta076",5306,8
"ta077",5599,9
"ta077",5599,8
"ta078",5630,6
"ta078",5637,5
"ta079",5875,6
"ta079",5878,7
"ta080",5848,6
"ta080",5848,5
"ta081",6265,5
"ta081",6273,6
"ta082",6255,10
"ta082",6226,7
"ta083",6310,5
"ta083",6327,4
"ta084",6366,13
"ta084",6303,14
"ta085",6392,5
"ta085",6380,5
"ta086",6445,5
"ta086",6437,5
"ta087",6324,5
"ta087",6306,5
"ta088",6440,5
"ta088",6440,5
"ta089",6335,5
"ta089",6330,7
"ta090",6483,6
"ta090",6484,6
"ta091",10872,13
"ta091",10872,11
"ta092",10489,13
"ta092",10494,11
"ta093",10923,10
"ta093",10923,11
"ta094",10889,13
"ta094",10889,12
"ta095",10527,9
"ta095",10537,13
"ta096",10331,13
"ta096",10331,11
"ta097",10857,10
"ta097",10860,11
"ta098",10734,11
"ta098",10734,16
"ta099",10438,13
"ta099",10438,12
"ta100",10676,13
"ta100",10685,10
"ta101",11319,9
"ta101",11336,12
"ta102",11339,10
"ta102",11322,8
"ta103",11479,11
"ta103",11423,10
"ta104",11373,13
"ta104",11385,12
"ta105",11343,8
"ta105",11326,7
"ta106",11319,9
"ta106",11334,9
"ta107",11465,8
"ta107",11467,8
"ta108",11426,9
"ta108",11433,7
"ta109",11347,8
"ta109",11369,6
"ta110",11386,8
"ta110",11386,7
"ta111",26165,16
"ta111",26181,15
"ta112",26684,18
"ta112",26698,20
"ta113",26600,15
"ta113",26477,14
"ta114",26549,18
"ta114",26549,16
"ta115",26427,14
"ta115",26425,15
"ta116",26568,15
"ta116",26575,15
"ta117",26461,13
"ta117",26488,17
"ta118",26692,13
"ta118",26650,16
"ta119",26110,16
"ta119",26131,16
"ta120",26559,14
"ta120",26531,17
