"name","solution_value","buffer_size"
"ta101",11332,9
"ta101",11347,9
"ta102",11338,7
"ta102",11325,7
"ta103",11431,9
"ta103",11413,14
"ta104",11450,13
"ta104",11411,14
"ta105",11345,8
"ta105",11328,11
"ta106",11335,8
"ta106",11337,7
"ta107",11452,9
"ta107",11460,8
"ta108",11548,9
"ta108",11421,10
"ta109",11369,10
"ta109",11349,8
"ta110",11399,10
"ta110",11375,10
"ta111",26193,14
"ta111",26187,13
"ta112",26699,16
"ta112",26713,15
"ta113",26494,18
"ta113",26486,17
"ta114",26549,14
"ta114",26551,16
"ta115",26423,18
"ta115",26427,15
"ta116",26570,15
"ta116",26592,21
"ta117",26461,17
"ta117",26464,22
"ta118",26644,13
"ta118",26655,16
"ta119",26131,15
"ta119",26133,16
